"icon-verkehrsstoerung src","linkintern","linkintern href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstration (Altstadt/Nord)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstration-altstadtnord-1","am 


,  von 14:00 bis 16:30 Uhr","22. Mai 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstration (Autokorso)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstration-autokorso-1","am 


,  von 14:00 bis 18:00 Uhr","10. April 2021","","überbezirklich"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstration (Autokorso)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstration-autokorso-2","am 


,  von 13:00 bis 18:30 Uhr","27. Februar 2021","","überbezirklich"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstration (Innenstadt)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstration-innenstadt-5","am 


,  von 12:00 bis 15:00 Uhr","24. September 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstration mit Autokorso","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstration-mit-autokorso","am 


,  von 14:00 bis 19:00 Uhr","8. Mai 2021","","überbezirklich"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Demonstration/Versammlung","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstrationversammlung","am 


,  von 10:00 bis 18:00 Uhr","20. Juni 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstrationen (Innenstadt)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstrationen-innenstadt","am 


,  von 09:30 bis 17:00 Uhr","19. März 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstrationen (Mülheim/Buchforst/Kalk)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstration-muelheiminnenstadt","von 


 bis","25. September 2021","3. Oktober 2021","überbezirklich"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Demonstrationszug","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/demonstrationszug-17","am 


,  von 14:00 bis 18:00 Uhr","30. Oktober 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Kalker Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-kalker-strasse-deutz-7","von 


 bis ,  von 07:00 bis 14:00 Uhr","17. Mai 2021","28. Mai 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Kalker Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-kalker-strasse-deutz-9","von 


 bis","13. September 2021","18. September 2021","Innenstadt"
